brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,length_mm,width_mm,height_mm,car_body_type,source_url
audi,a6 avant e-tron quattro,210,94.9,lithium-ion,180.0,855.0,157,560,4.5,200.0,ccs,2100.0,502,5,awd,je - executive,4928,1923,1455,station/estate,https://ev-database.org/car/3054/audi-a6-avant-e-tron-quattro
audi,a6 sportback e-tron,210,75.8,lithium-ion,150.0,435.0,136,495,6.0,150.0,ccs,2100.0,502,5,rwd,je - executive,4928,1923,1455,liftback sedan,https://ev-database.org/car/3053/audi-a6-sportback-e-tron
audi,a6 sportback e-tron performance,210,94.9,lithium-ion,180.0,565.0,141,610,5.4,200.0,ccs,2100.0,502,5,rwd,je - executive,4928,1923,1455,liftback sedan,https://ev-database.org/car/2270/audi-a6-sportback-e-tron-performance
audi,a6 sportback e-tron quattro,210,94.9,lithium-ion,180.0,855.0,147,590,4.7,200.0,ccs,2100.0,502,5,awd,je - executive,4928,1923,1455,liftback sedan,https://ev-database.org/car/3052/audi-a6-sportback-e-tron-quattro
audi,q4 sportback e-tron 40,160,59.0,lithium-ion,216.0,310.0,156,340,8.1,110.0,ccs,1000.0,520,5,rwd,jc - medium,4588,1865,1614,suv,https://ev-database.org/car/3149/audi-q4-sportback-e-tron-40
audi,q4 sportback e-tron 45,180,77.0,lithium-ion,288.0,545.0,162,435,6.7,120.0,ccs,1000.0,535,5,rwd,jc - medium,4588,1865,1614,suv,https://ev-database.org/car/2016/audi-q4-sportback-e-tron-45
audi,q4 sportback e-tron 45 quattro,180,77.0,lithium-ion,288.0,679.0,165,410,6.6,120.0,ccs,1200.0,535,5,awd,jc - medium,4588,1865,1614,suv,https://ev-database.org/car/2017/audi-q4-sportback-e-tron-45-quattro
audi,q4 sportback e-tron 55 quattro,180,77.0,lithium-ion,288.0,679.0,165,415,5.4,120.0,ccs,1200.0,535,5,awd,jc - medium,4588,1865,1614,suv,https://ev-database.org/car/2018/audi-q4-sportback-e-tron-55-quattro
audi,q4 e-tron 40,160,59.0,lithium-ion,216.0,310.0,159,325,8.1,110.0,ccs,1000.0,520,5,rwd,jc - medium,4588,1865,1632,suv,https://ev-database.org/car/3148/audi-q4-e-tron-40
audi,q4 e-tron 45,180,77.0,lithium-ion,288.0,545.0,169,420,6.7,120.0,ccs,1000.0,520,5,rwd,jc - medium,4588,1865,1632,suv,https://ev-database.org/car/2013/audi-q4-e-tron-45
audi,q4 e-tron 45 quattro,180,77.0,lithium-ion,288.0,679.0,171,395,6.6,120.0,ccs,1200.0,520,5,awd,jc - medium,4588,1865,1632,suv,https://ev-database.org/car/2014/audi-q4-e-tron-45-quattro
audi,q4 e-tron 55 quattro,180,77.0,lithium-ion,288.0,679.0,171,395,5.4,120.0,ccs,1200.0,520,5,awd,jc - medium,4588,1865,1632,suv,https://ev-database.org/car/2015/audi-q4-e-tron-55-quattro
audi,q6 e-tron,210,75.8,lithium-ion,150.0,450.0,166,395,7.0,150.0,ccs,2000.0,526,5,rwd,jd - large,4771,1939,1685,suv,https://ev-database.org/car/2281/audi-q6-e-tron
audi,q6 e-tron sportback,210,75.8,lithium-ion,150.0,450.0,139,410,7.0,150.0,ccs,2000.0,511,5,rwd,jd - large,4771,1939,1665,suv,https://ev-database.org/car/3041/audi-q6-e-tron-sportback
audi,q6 e-tron sportback performance,210,94.9,lithium-ion,180.0,485.0,145,510,6.6,190.0,ccs,2000.0,511,5,rwd,jd - large,4771,1939,1665,suv,https://ev-database.org/car/3042/audi-q6-e-tron-sportback-performance
audi,q6 e-tron sportback quattro,210,94.9,lithium-ion,180.0,855.0,149,500,5.9,200.0,ccs,2400.0,511,5,awd,jd - large,4771,1939,1665,suv,https://ev-database.org/car/3043/audi-q6-e-tron-sportback-quattro
audi,q6 e-tron performance,210,94.9,lithium-ion,180.0,485.0,171,490,6.6,190.0,ccs,2000.0,526,5,rwd,jd - large,4771,1939,1685,suv,https://ev-database.org/car/2215/audi-q6-e-tron-performance
audi,q6 e-tron quattro,210,94.9,lithium-ion,180.0,855.0,176,480,5.9,200.0,ccs,2400.0,10 banana boxes,5,awd,jd - large,4771,1939,1685,suv,https://ev-database.org/car/2146/audi-q6-e-tron-quattro
audi,s6 avant e-tron,240,94.9,lithium-ion,180.0,855.0,156,530,3.9,200.0,ccs,2100.0,502,5,awd,je - executive,4928,1923,1493,station/estate,https://ev-database.org/car/2273/audi-s6-avant-e-tron
audi,s6 sportback e-tron,240,94.9,lithium-ion,180.0,855.0,149,555,3.9,200.0,ccs,2100.0,502,5,awd,je - executive,4928,1923,1465,liftback sedan,https://ev-database.org/car/2271/audi-s6-sportback-e-tron
audi,sq6 e-tron,230,94.9,lithium-ion,180.0,855.0,169,470,4.3,200.0,ccs,2400.0,514,5,awd,jd - large,4771,1965,1685,suv,https://ev-database.org/car/2147/audi-sq6-e-tron
audi,sq6 e-tron sportback,230,94.9,lithium-ion,180.0,855.0,164,495,4.3,200.0,ccs,2400.0,511,5,awd,jd - large,4771,1965,1665,suv,https://ev-database.org/car/3044/audi-sq6-e-tron-sportback
audi,e-tron gt rs,250,97.0,lithium-ion,396.0,865.0,184,525,2.8,281.0,ccs,0.0,350,4,awd,f - luxury,4997,1964,1389,sedan,https://ev-database.org/car/2220/audi-e-tron-gt-rs
audi,e-tron gt rs performance,250,97.0,lithium-ion,396.0,1027.0,182,525,2.5,281.0,ccs,0.0,350,4,awd,f - luxury,4997,1964,1389,sedan,https://ev-database.org/car/2221/audi-e-tron-gt-rs-performance
audi,e-tron gt s,245,97.0,lithium-ion,396.0,740.0,172,540,3.4,281.0,ccs,0.0,405,4,awd,f - luxury,5004,1964,1394,sedan,https://ev-database.org/car/2219/audi-e-tron-gt-s
audi,e-tron gt quattro,245,97.0,lithium-ion,396.0,625.0,169,540,4.0,281.0,ccs,0.0,405,4,awd,f - luxury,5004,1964,1394,sedan,https://ev-database.org/car/3182/audi-e-tron-gt-quattro
byd,atto 3 (my25),160,60.5,lithium-ion,126.0,310.0,144,340,7.3,75.0,ccs,750.0,440,5,fwd,jc - medium,4455,1875,1615,suv,https://ev-database.org/car/3192/byd-atto-3
byd,dolphin 44.9 kwh active,150,44.9,lithium-ion,104.0,180.0,132,265,12.3,50.0,ccs,0.0,345,5,fwd,c - medium,4290,1770,1570,hatchback,https://ev-database.org/car/1917/byd-dolphin-449-kwh-active
byd,dolphin 60.4 kwh,160,60.5,lithium-ion,126.0,310.0,142,350,7.0,65.0,ccs,0.0,345,5,fwd,c - medium,4290,1770,1570,hatchback,https://ev-database.org/car/1919/byd-dolphin-604-kwh
byd,dolphin surf 30 kwh active,150,30.0,lithium-ion,94.0,175.0,136,190,11.1,45.0,ccs,0.0,308,4,fwd,b - compact,3990,1720,1590,hatchback,https://ev-database.org/car/3193/byd-dolphin-surf-30-kwh-active
byd,dolphin surf 43.2 kwh boost,150,43.2,lithium-ion,90.0,175.0,134,270,12.1,60.0,ccs,0.0,308,4,fwd,b - compact,3990,1720,1590,hatchback,https://ev-database.org/car/3194/byd-dolphin-surf-432-kwh-boost
byd,dolphin surf 43.2 kwh comfort,150,43.2,lithium-ion,90.0,220.0,139,265,9.1,60.0,ccs,0.0,308,4,fwd,b - compact,3990,1720,1590,hatchback,https://ev-database.org/car/3195/byd-dolphin-surf-432-kwh-comfort
byd,seal 61.4 kwh rwd comfort,220,61.4,lithium-ion,128.0,380.0,133,365,7.5,75.0,ccs,750.0,400,5,rwd,d - large,4800,1875,1460,sedan,https://ev-database.org/car/3102/byd-seal-614-kwh-rwd-comfort
byd,seal 82.5 kwh awd excellence,180,82.5,lithium-ion,172.0,670.0,159,445,3.8,100.0,ccs,1500.0,400,5,awd,d - large,4800,1875,1460,sedan,https://ev-database.org/car/2002/byd-seal-825-kwh-awd-excellence
byd,seal 82.5 kwh rwd design,180,82.5,lithium-ion,172.0,360.0,145,480,5.9,100.0,ccs,750.0,400,5,rwd,d - large,4800,1875,1460,sedan,https://ev-database.org/car/2001/byd-seal-825-kwh-rwd-design
byd,seal u 71.8 kwh comfort,175,71.8,lithium-ion,132.0,310.0,171,360,9.3,72.0,ccs,1300.0,552,5,fwd,jd - large,4785,1890,1668,suv,https://ev-database.org/car/2094/byd-seal-u-718-kwh-comfort
byd,seal u 87 kwh design,175,87.0,lithium-ion,160.0,330.0,174,425,9.6,85.0,ccs,1300.0,552,5,fwd,jd - large,4785,1890,1668,suv,https://ev-database.org/car/2067/byd-seal-u-87-kwh-design
byd,sealion 7 82.5 kwh awd design,215,82.5,lithium-ion,172.0,690.0,181,400,4.5,115.0,ccs,1500.0,520,5,awd,jd - large,4830,1925,1620,suv,https://ev-database.org/car/3071/byd-sealion-7-825-kwh-awd-design
byd,sealion 7 82.5 kwh rwd comfort,215,82.5,lithium-ion,172.0,380.0,171,415,6.7,115.0,ccs,750.0,520,5,rwd,jd - large,4830,1925,1620,suv,https://ev-database.org/car/3070/byd-sealion-7-825-kwh-rwd-comfort
cupra,born 170 kw - 59 kwh,160,59.0,lithium-ion,216.0,310.0,156,360,6.7,110.0,ccs,0.0,385,5,rwd,c - medium,4322,1809,1540,hatchback,https://ev-database.org/car/2233/cupra-born-170-kw---59-kwh
cupra,born 170 kw - 77 kwh,160,77.0,lithium-ion,288.0,310.0,157,460,7.0,125.0,ccs,0.0,385,5,rwd,c - medium,4322,1809,1540,hatchback,https://ev-database.org/car/2234/cupra-born-170-kw---77-kwh
cupra,born vz,200,79.0,lithium-ion,288.0,545.0,149,465,5.6,135.0,ccs,0.0,385,5,rwd,c - medium,4322,1809,1538,hatchback,https://ev-database.org/car/2128/cupra-born-vz
cupra,tavascan endurance,180,77.0,lithium-ion,288.0,545.0,142,445,6.8,120.0,ccs,1000.0,540,5,rwd,jc - medium,4644,1861,1597,suv,https://ev-database.org/car/1971/cupra-tavascan-endurance
cupra,tavascan vz,180,77.0,lithium-ion,288.0,545.0,150,425,5.5,120.0,ccs,1200.0,540,5,awd,jc - medium,4644,1861,1597,suv,https://ev-database.org/car/1972/cupra-tavascan-vz
cadillac,lyriq 600 e4,210,102.0,lithium-ion,288.0,610.0,192,460,5.3,165.0,ccs,1587.0,793,5,awd,jf - luxury,5005,1977,1623,suv,https://ev-database.org/car/2243/cadillac-lyriq-600-e4
citroen,e-c4,150,46.3,lithium-ion,216.0,260.0,135,285,9.9,78.0,ccs,0.0,380,5,fwd,c - medium,4360,1834,1525,hatchback,https://ev-database.org/car/3047/citroen-e-c4
citroen,e-c4 54 kwh,150,50.8,lithium-ion,102.0,260.0,122,325,9.1,78.0,ccs,0.0,380,5,fwd,c - medium,4360,1834,1525,hatchback,https://ev-database.org/car/3048/citroen-e-c4-54-kwh
citroen,e-c4 x,150,46.3,lithium-ion,216.0,260.0,132,290,9.9,78.0,ccs,0.0,510,5,fwd,c - medium,4600,1834,1525,sedan,https://ev-database.org/car/3049/citroen-e-c4-x
citroen,e-c4 x 54 kwh,150,50.8,lithium-ion,102.0,260.0,119,335,9.1,78.0,ccs,0.0,510,5,fwd,c - medium,4600,1834,1525,sedan,https://ev-database.org/car/3050/citroen-e-c4-x-54-kwh
citroen,e-spacetourer m 50 kwh,130,46.3,lithium-ion,216.0,220.0,217,180,13.3,78.0,ccs,1000.0,603,9,fwd,n - passenger van,4983,1920,1890,small passenger van,https://ev-database.org/car/2252/citroen-e-spacetourer-m-50-kwh
citroen,e-spacetourer m 75 kwh,130,68.0,lithium-ion,324.0,220.0,202,260,14.2,79.0,ccs,1000.0,603,9,fwd,n - passenger van,4983,1920,1890,small passenger van,https://ev-database.org/car/2254/citroen-e-spacetourer-m-75-kwh
citroen,e-spacetourer xl 50 kwh,130,46.3,lithium-ion,216.0,220.0,219,180,13.3,78.0,ccs,1000.0,989,9,fwd,n - passenger van,5333,1920,1890,small passenger van,https://ev-database.org/car/2253/citroen-e-spacetourer-xl-50-kwh
citroen,e-spacetourer xl 75 kwh,130,68.0,lithium-ion,324.0,220.0,204,260,14.2,79.0,ccs,1000.0,989,9,fwd,n - passenger van,5333,1920,1890,small passenger van,https://ev-database.org/car/2255/citroen-e-spacetourer-xl-75-kwh
ds,3 e-tense,150,50.8,lithium-ion,102.0,260.0,128,300,9.0,85.0,ccs,0.0,350,5,fwd,jb - compact,4118,1802,1534,suv,https://ev-database.org/car/1791/ds-3-e-tense
dacia,spring electric 45,125,25.0,lithium-ion,72.0,125.0,109,165,19.1,29.0,ccs,0.0,308,4,fwd,a - mini,3700,1622,1516,hatchback,https://ev-database.org/car/2126/dacia-spring-electric-45
dacia,spring electric 65,125,25.0,lithium-ion,72.0,113.0,114,160,13.7,29.0,ccs,0.0,308,4,fwd,a - mini,3700,1622,1516,hatchback,https://ev-database.org/car/2127/dacia-spring-electric-65
fiat,500e 3+1 24 kwh,135,21.3,lithium-ion,108.0,220.0,112,135,9.0,40.0,ccs,0.0,185,4,fwd,b - compact,3631,1683,1529,hatchback,https://ev-database.org/car/1726/fiat-500e-3plus1-24-kwh
fiat,500e 3+1 42 kwh,150,37.3,lithium-ion,192.0,220.0,122,235,9.0,67.0,ccs,0.0,185,4,fwd,b - compact,3631,1683,1529,hatchback,https://ev-database.org/car/1328/fiat-500e-3plus1-42-kwh
fiat,500e cabrio 24 kwh,135,21.3,lithium-ion,108.0,220.0,112,135,9.0,40.0,ccs,0.0,185,4,fwd,b - compact,3631,1683,1529,cabriolet,https://ev-database.org/car/1727/fiat-500e-cabrio-24-kwh
fiat,500e cabrio 42 kwh,150,37.3,lithium-ion,192.0,220.0,125,230,9.0,67.0,ccs,0.0,185,4,fwd,b - compact,3631,1683,1529,cabriolet,https://ev-database.org/car/1275/fiat-500e-cabrio-42-kwh
fiat,500e hatchback 24 kwh,135,21.3,lithium-ion,108.0,220.0,112,135,9.0,40.0,ccs,0.0,185,4,fwd,b - compact,3631,1683,1529,hatchback,https://ev-database.org/car/1327/fiat-500e-hatchback-24-kwh
fiat,500e hatchback 42 kwh,150,37.3,lithium-ion,192.0,220.0,118,235,9.0,67.0,ccs,0.0,185,4,fwd,b - compact,3631,1683,1529,hatchback,https://ev-database.org/car/1285/fiat-500e-hatchback-42-kwh
fiat,600e,150,50.8,lithium-ion,102.0,260.0,124,310,9.0,79.0,ccs,0.0,360,5,fwd,jb - compact,4171,1781,1523,suv,https://ev-database.org/car/1945/fiat-600e
ford,capri extended range awd,180,79.0,lithium-ion,288.0,679.0,148,455,5.3,135.0,ccs,1200.0,572,5,awd,d - large,4643,1872,1626,liftback sedan,https://ev-database.org/car/2242/ford-capri-extended-range-awd
ford,capri extended range rwd,180,77.0,lithium-ion,288.0,545.0,135,455,6.4,120.0,ccs,1000.0,572,5,rwd,d - large,4643,1872,1626,liftback sedan,https://ev-database.org/car/2241/ford-capri-extended-range-rwd
ford,capri standard range rwd,160,52.0,lithium-ion,192.0,310.0,163,320,9.0,85.0,ccs,1000.0,572,5,rwd,d - large,4643,1872,1626,liftback sedan,https://ev-database.org/car/2240/ford-capri-standard-range-rwd
ford,explorer extended range awd,180,79.0,lithium-ion,288.0,679.0,153,440,5.3,135.0,ccs,1200.0,536,5,awd,jc - medium,4468,1871,1639,suv,https://ev-database.org/car/2169/ford-explorer-extended-range-awd
ford,explorer extended range rwd,180,77.0,lithium-ion,288.0,545.0,139,435,6.4,120.0,ccs,1000.0,536,5,rwd,jc - medium,4468,1871,1630,suv,https://ev-database.org/car/2168/ford-explorer-extended-range-rwd
ford,explorer standard range rwd,160,52.0,lithium-ion,192.0,310.0,137,305,8.7,85.0,ccs,1000.0,536,5,rwd,jc - medium,4468,1871,1630,suv,https://ev-database.org/car/2167/ford-explorer-standard-range-rwd
ford,mustang mach-e er awd (my24),180,91.0,lithium-ion,376.0,675.0,165,445,4.6,115.0,ccs,1500.0,519,5,awd,jd - large,4713,1881,1624,suv,https://ev-database.org/car/2279/ford-mustang-mach-e-er-awd
ford,mustang mach-e er rwd (my24),180,91.0,lithium-ion,376.0,525.0,152,480,5.9,115.0,ccs,1500.0,519,5,rwd,jd - large,4713,1881,1624,suv,https://ev-database.org/car/2278/ford-mustang-mach-e-er-rwd
ford,mustang mach-e gt (my24),200,91.0,lithium-ion,376.0,950.0,177,425,3.8,115.0,ccs,750.0,519,5,awd,jd - large,4743,1881,1613,suv,https://ev-database.org/car/2280/ford-mustang-mach-e-gt
ford,mustang mach-e gt (my25),200,91.0,lithium-ion,376.0,950.0,177,435,3.8,115.0,ccs,750.0,519,5,awd,jd - large,4743,1881,1613,suv,https://ev-database.org/car/3190/ford-mustang-mach-e-gt
ford,mustang mach-e rally (my25),200,91.0,lithium-ion,376.0,950.0,178,415,3.9,115.0,ccs,750.0,519,5,awd,jd - large,4743,1881,1633,suv,https://ev-database.org/car/3191/ford-mustang-mach-e-rally
ford,mustang mach-e rally (my24),200,91.0,lithium-ion,376.0,950.0,178,410,3.9,115.0,ccs,750.0,519,5,awd,jd - large,4743,1881,1633,suv,https://ev-database.org/car/2275/ford-mustang-mach-e-rally
genesis,gv60 premium,185,74.0,lithium-ion,384.0,350.0,143,390,7.8,200.0,ccs,1600.0,432,5,rwd,jc - medium,4515,1890,1580,suv,https://ev-database.org/car/1647/genesis-gv60-premium
genesis,gv60 sport,200,74.0,lithium-ion,384.0,605.0,157,375,5.5,200.0,ccs,1600.0,432,5,awd,jc - medium,4515,1890,1580,suv,https://ev-database.org/car/1648/genesis-gv60-sport
genesis,gv60 sport plus,235,74.0,lithium-ion,384.0,700.0,159,360,4.0,200.0,ccs,1600.0,432,5,awd,jc - medium,4515,1890,1580,suv,https://ev-database.org/car/1649/genesis-gv60-sport-plus
genesis,gv70 electrified sport,235,74.0,lithium-ion,384.0,700.0,163,350,4.2,190.0,ccs,1800.0,503,5,awd,jd - large,4715,1910,1630,suv,https://ev-database.org/car/1725/genesis-gv70-electrified-sport
hyundai,ioniq 5 63 kwh rwd (my24),185,60.0,lithium-ion,288.0,350.0,136,345,8.5,150.0,ccs,750.0,520,5,rwd,jc - medium,4655,1890,1605,suv,https://ev-database.org/car/2235/hyundai-ioniq-5-63-kwh-rwd
hyundai,ioniq 5 84 kwh awd (my24),185,80.0,lithium-ion,384.0,605.0,162,445,5.3,205.0,ccs,1600.0,520,5,awd,jc - medium,4655,1890,1605,suv,https://ev-database.org/car/2237/hyundai-ioniq-5-84-kwh-awd
hyundai,ioniq 5 84 kwh rwd (my24),185,80.0,lithium-ion,384.0,350.0,155,450,7.5,205.0,ccs,1600.0,520,5,rwd,jc - medium,4655,1890,1605,suv,https://ev-database.org/car/2236/hyundai-ioniq-5-84-kwh-rwd
hyundai,ioniq 5 n (my24),260,80.0,lithium-ion,384.0,740.0,179,390,3.4,205.0,ccs,0.0,480,5,awd,jc - medium,4715,1940,1585,suv,https://ev-database.org/car/2044/hyundai-ioniq-5-n
hyundai,ioniq 6 long range 2wd,185,74.0,lithium-ion,384.0,350.0,136,495,7.4,200.0,ccs,1500.0,401,5,rwd,d - large,4855,1880,1495,sedan,https://ev-database.org/car/1718/hyundai-ioniq-6-long-range-2wd
hyundai,ioniq 6 long range awd,185,74.0,lithium-ion,384.0,605.0,143,440,5.1,200.0,ccs,1500.0,401,5,awd,d - large,4855,1880,1495,sedan,https://ev-database.org/car/1719/hyundai-ioniq-6-long-range-awd
hyundai,ioniq 6 standard range 2wd,185,50.0,lithium-ion,264.0,350.0,117,335,8.8,120.0,ccs,750.0,401,5,rwd,d - large,4855,1880,1495,sedan,https://ev-database.org/car/1717/hyundai-ioniq-6-standard-range-2wd
jaguar,i-pace ev400,200,84.7,lithium-ion,432.0,696.0,208,380,4.8,85.0,ccs,750.0,505,5,awd,jd - large,4682,2011,1566,suv,https://ev-database.org/car/1812/jaguar-i-pace-ev400
jeep,avenger electric,150,50.8,lithium-ion,102.0,260.0,132,310,9.0,85.0,ccs,0.0,355,5,fwd,jb - compact,4084,1776,1528,suv,https://ev-database.org/car/1816/jeep-avenger-electric
kia,ev6 gt,260,80.0,lithium-ion,384.0,770.0,178,385,3.5,205.0,ccs,1800.0,480,5,awd,jc - medium,4695,1890,1545,suv,https://ev-database.org/car/3079/kia-ev6-gt
kia,ev6 long range 2wd,185,80.0,lithium-ion,384.0,350.0,143,455,7.3,205.0,ccs,1800.0,490,5,rwd,jc - medium,4695,1880,1575,suv,https://ev-database.org/car/3028/kia-ev6-long-range-2wd
kia,ev6 long range awd,185,80.0,lithium-ion,384.0,605.0,154,440,5.2,205.0,ccs,1800.0,490,5,awd,jc - medium,4695,1880,1575,suv,https://ev-database.org/car/3029/kia-ev6-long-range-awd
kia,ev6 standard range 2wd,185,60.0,lithium-ion,288.0,350.0,140,345,8.7,150.0,ccs,750.0,490,5,rwd,jc - medium,4695,1880,1575,suv,https://ev-database.org/car/3030/kia-ev6-standard-range-2wd
kia,ev9 76.1 kwh rwd,190,73.0,lithium-ion,348.0,350.0,165,355,8.5,160.0,ccs,900.0,333,7,rwd,jf - luxury,5010,1980,1755,suv,https://ev-database.org/car/1833/kia-ev9-761-kwh-rwd
kia,ev9 99.8 kwh awd,200,96.0,lithium-ion,456.0,600.0,188,435,6.0,194.0,ccs,2500.0,333,7,awd,jf - luxury,5010,1980,1755,suv,https://ev-database.org/car/1835/kia-ev9-998-kwh-awd
kia,ev9 99.8 kwh awd gt,220,96.0,lithium-ion,456.0,740.0,190,420,4.6,194.0,ccs,2500.0,333,7,awd,jf - luxury,5015,1980,1755,suv,https://ev-database.org/car/3196/kia-ev9-998-kwh-awd-gt
kia,ev9 99.8 kwh awd gt-line,200,96.0,lithium-ion,456.0,700.0,190,425,5.3,194.0,ccs,2500.0,333,7,awd,jf - luxury,5015,1980,1780,suv,https://ev-database.org/car/1993/kia-ev9-998-kwh-awd-gt-line
kia,ev9 99.8 kwh rwd,185,96.0,lithium-ion,456.0,350.0,171,450,9.4,194.0,ccs,900.0,333,7,rwd,jf - luxury,5010,1980,1755,suv,https://ev-database.org/car/1834/kia-ev9-998-kwh-rwd
kia,niro ev,167,64.8,lithium-ion,96.0,255.0,140,385,7.8,70.0,ccs,750.0,475,5,fwd,jc - medium,4420,1825,1570,suv,https://ev-database.org/car/1666/kia-niro-ev
lancia,ypsilon,150,48.1,lithium-ion,96.0,260.0,122,310,8.2,80.0,ccs,0.0,309,5,fwd,b - compact,4080,1760,1440,hatchback,https://ev-database.org/car/2117/lancia-ypsilon
lexus,rz 300e,160,64.0,lithium-ion,96.0,266.0,149,365,8.0,100.0,ccs,750.0,522,5,fwd,jc - medium,4690,1860,1600,suv,https://ev-database.org/car/3027/lexus-rz-300e
lexus,rz 450e,160,64.0,lithium-ion,96.0,435.0,158,350,5.6,100.0,ccs,750.0,522,5,awd,jd - large,4805,1895,1635,suv,https://ev-database.org/car/1677/lexus-rz-450e
lexus,ux 300e,160,64.0,lithium-ion,96.0,300.0,145,340,7.5,35.0,chademo,0.0,316,5,fwd,jc - medium,4495,1840,1545,suv,https://ev-database.org/car/1943/lexus-ux-300e
lucid,air grand touring,270,112.0,lithium-ion,6600.0,1200.0,143,665,3.0,184.0,ccs,0.0,456,5,awd,f - luxury,4975,1939,1410,sedan,https://ev-database.org/car/1316/lucid-air-grand-touring
mg,4 electric 51 kwh,160,50.8,lithium-ion,104.0,250.0,145,300,7.7,68.0,ccs,500.0,363,5,rwd,c - medium,4287,1836,1504,hatchback,https://ev-database.org/car/1707/mg-mg4-electric-51-kwh
mg,4 electric 64 kwh,160,61.7,lithium-ion,104.0,250.0,142,360,7.9,116.0,ccs,500.0,363,5,rwd,c - medium,4287,1836,1504,hatchback,https://ev-database.org/car/1708/mg-mg4-electric-64-kwh
mg,4 electric xpower,200,61.7,lithium-ion,104.0,600.0,160,320,3.8,116.0,ccs,500.0,363,5,awd,c - medium,4287,1836,1516,hatchback,https://ev-database.org/car/1944/mg-mg4-electric-xpower
mercedes-benz,eqa 250,160,66.5,lithium-ion,300.0,385.0,146,395,8.6,100.0,ccs,1500.0,340,5,fwd,jc - medium,4463,1834,1620,suv,https://ev-database.org/car/1984/mercedes-benz-eqa-250
mercedes-benz,eqa 300 4matic,160,66.5,lithium-ion,300.0,390.0,162,350,7.7,100.0,ccs,1800.0,340,5,awd,jc - medium,4463,1834,1620,suv,https://ev-database.org/car/1986/mercedes-benz-eqa-300-4matic
mercedes-benz,eqa 350 4matic,160,66.5,lithium-ion,300.0,520.0,162,350,6.0,100.0,ccs,1800.0,340,5,awd,jc - medium,4463,1834,1620,suv,https://ev-database.org/car/1987/mercedes-benz-eqa-350-4matic
mercedes-benz,eqb 300 4matic,160,66.5,lithium-ion,300.0,390.0,168,345,8.0,100.0,ccs,1700.0,495,7,awd,jc - medium,4684,1834,1667,suv,https://ev-database.org/car/1989/mercedes-benz-eqb-300-4matic
mercedes-benz,eqb 350 4matic,160,66.5,lithium-ion,300.0,520.0,168,345,6.2,100.0,ccs,1700.0,495,7,awd,jc - medium,4684,1834,1667,suv,https://ev-database.org/car/1990/mercedes-benz-eqb-350-4matic
